"Project ID";"8"
"Project";"AI Hub"
"Run ID";"87"
"Run";"25.38.0-aihub UAT"
"Exported at";"2025-09-18T07:28:40.484Z"
"Closed";"No"
"Created at";"2025-09-16T01:16:19.688Z"
"Created by";"Cody Boggs"
"Forecast";"16287.496"
"Milestone";"release-25.38.0-aihub"
"Started";"Yes"
"Started at";"2025-09-16T07:36:49.251Z"
"State";"In progress"
"Untested";"391";"100%"
"Passed";"0";"0%"
"Failed";"0";"0%"
"Retest";"0";"0%"
"Blocked";"0";"0%"
"Skipped";"0";"0%"

"Case ID";"Test ID";"Test";"Result ID";"Assigned to";"Automation";"Comment";"Created at";"Created by";"Deleted";"Deleted at";"Deleted by";"Description";"Elapsed";"Estimate";"Expected";"Folder";"Forecast";"Issues";"Issues (case)";"Priority";"State";"Status";"Steps (Expected)";"Steps (Note)";"Steps (Status)";"Steps (Step)";"Tags";"Template";"Updated at";"Updated by"
"2830";"56575";"Test short doc sample";"";"";"No";"";"";"";"";"";"";"<ul><li>Upload a sample from here<br />https://drive.google.com/drive/folders/1pxcmE5yFHAg5elojrnmuM_2nd9IbRFdM</li><li>Check if file digitize correctly</li><li>Type few questions about this document</li><li>Check if the model answer is accurate for majority of questions</li><li>Check if the provenance is correct for majority of questions</li></ul>";"";"";"";"Converse";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"2831";"56576";"Test JSON rendering output";"";"";"No";"";"";"";"";"";"";"<ul><li>Upload a sample from here<br /><a href=""https://drive.google.com/drive/folders/1qOV7xISbsEzHGMHiMr3SI5JNUs9pP36J"">https://drive.google.com/drive/folders/1qOV7xISbsEzHGMHiMr3SI5JNUs9pP36J</a></li><li>Type a question that would require a JSON as an output</li><li>Check if JSON appears in the code block</li></ul>";"";"";"";"Converse";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3024";"56607";"Test long doc sample on form-recognizer";"";"";"No";"";"";"";"";"";"";"<ul><li>Create a project with ""Advanced table and checkbox extraction"" enabled.</li><li><p>Upload a new file from </p><p><a href=""https://docs.google.com/spreadsheets/d/1Pm8KeAlZ-8PP9GnDbdDapi1RjhIC43m0/edit?usp=drive_link&amp;ouid=115156425595654704301&amp;rtpof=true&amp;sd=true"">https://docs.google.com/spreadsheets/d/1Pm8KeAlZ-8PP9GnDbdDapi1RjhIC43m0/edit?usp=drive_link&amp;ouid=115156425595654704301&amp;rtpof=true&amp;sd=true</a></p><p> </p></li><li>Confirm that the file was processed correctly.</li><li>Run the model with query ""Extract all tables for the document""</li><li>Check if the table is accurately extracted.</li></ul>";"";"";"<p>A single table is extracted with starting with 352 rows and 17 columns</p>";"Converse";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3025";"56608";"Test non-english doc with form recognizer";"";"";"No";"";"";"";"";"";"";"<ul><li>Create a project with ""Advanced table and checkbox extraction"" enabled.</li><li>Upload a new file from <a href=""https://drive.google.com/file/d/1ZISJ_QH8t29NS74K8kgQOYDXhsFU_avo/view?usp=drive_link"">https://drive.google.com/file/d/1ZISJ_QH8t29NS74K8kgQOYDXhsFU_avo/view?usp=drive_link</a></li><li>Confirm that the file was processed correctly.</li><li>Run the model with query ""Extract all tables for the document""</li><li>Check if the table is accurately extracted</li></ul>";"";"";"<p>10 tables should be extracted</p><p><br /> </p>";"Converse";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3026";"56609";"Validate Converse chat works for Commercial User";"";"";"No";"";"";"";"";"";"";"<p>Login as a commercial user.</p><p>Open Converse and try to upload a document.</p><p>Run a query to validate.</p>";"";"";"<p>Document digitized successfully.</p><p>User query works successfully </p>";"Converse";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3093";"56620";"Chart Visualization";"";"";"No";"";"";"";"";"";"";"<p>Validate chart visualization works properly. Test with both CSV and non-CSV input files. (IMG, PDF, CSV)</p><p>Use files from here - https://drive.google.com/drive/u/0/folders/16rXh5GIx2FNlurb0HTNT8weYdwyEKqOb</p><p>Run these queries and verify  if the response chart is correct.</p><ol><li>IMG - ""Bank Statement.png""<ol><li>""Compare Total revenues and other income over the years on a bar graph""</li><li>""Plot all costs and other deductions on a pie chart for 2020""</li></ol></li><li>PDF - ""Alexander Scott.pdf""<ol><li>""Plot the area chart of Resulting Balance vs Date""</li></ol></li><li>CSV - ""Data_Africa.csv""<ol><li>""Plot a bar chart of population of states in year 2010""</li><li>""Plot a line chart of population of Uganda over the years""</li></ol></li></ol><p>Verify if the expand and download feature works for these charts.<br /><br />Verify whether the summary and title are generated for the charts. </p>";"";"";"";"Converse";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3096";"56622";"Test auto re-indexing";"";"";"No";"";"";"";"";"";"";"<p>For all documents with outdated index, we need to re-index them.</p>";"";"";"<ul><li>For index version mismatch, we should trigger reindexing job &amp; wait for it to complete before returning reponse </li><li>Trigger points, <ul><li>Converse - during chat</li><li>Build - during extraction</li></ul></li></ul>";"Converse";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3217";"56688";"Test signature detection using Prompts";"";"";"No";"";"";"";"";"";"";"";"";"";"";"Converse";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3218";"56689";"Table Entities";"";"";"No";"";"";"";"";"";"";"<p>Test whether table entitites in converse</p><ol><li>Create a new converse project</li><li>Enable object detection</li><li>Upload a document containing tables</li><li>Tables should be viewable, copyable, and downloadable</li><li>Normal query provenance page navigation should work when table entities are enabled/disabled</li></ol><p> </p><p>Entity detection after redigitization</p><ol><li>Add a file containing entities to a new conversation with object detection disabled initially</li><li>Redigitize by enabling object detection</li><li>Table entities should work as above</li></ol>";"";"";"";"Converse";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3229";"56698";"Test error scenarios with upload";"";"";"No";"";"";"";"";"";"";"<p><strong>Scenario #1</strong></p><ol><li>Create a new conversation</li><li>Upload a file with invalid file extension (.pyy) </li></ol><p><strong>Scenario #2</strong></p><ol><li>Upload a folder with set of valid and invalid files ( with extension .py) </li></ol><p><strong>Scenario #3</strong></p><ol><li>Upload a file with one valid file</li><li>Upload the same file again</li></ol>";"";"";"<p>For scenarios #1 and #2: In the front-end, we should see below controls</p><ol><li>On the bottom left, a error control with the failed files</li></ol><p><strong>Even if one of the file has invalid extension, the entire upload will fail</strong></p><p>For scenarios #3: In the front-end, we should see below controls</p><ol><li>On the bottom left, a error control with the failed files</li></ol>";"Converse";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
